gene,family,clan,fold,substrate
ALG13,GT1,I,GT-B,GlcNAc
ALG14,GT1,I,GT-B,GlcNAc
UGT1A1,GT1,I,GT-B,GlcA
UGT1A10,GT1,I,GT-B,GlcA
UGT1A3,GT1,I,GT-B,GlcA
UGT1A4,GT1,I,GT-B,GlcA
UGT1A5,GT1,I,GT-B,GlcA
UGT1A6,GT1,I,GT-B,GlcA
UGT1A7,GT1,I,GT-B,GlcA
UGT1A8,GT1,I,GT-B,GlcA
UGT1A9,GT1,I,GT-B,GlcA
UGT2A1,GT1,I,GT-B,GlcA
UGT2A3,GT1,I,GT-B,GlcA
UGT2B10,GT1,I,GT-B,GlcA
UGT2B11,GT1,I,GT-B,GlcA
UGT2B15,GT1,I,GT-B,GlcA
UGT2B17,GT1,I,GT-B,GlcA
UGT2B28,GT1,I,GT-B,GlcA
UGT2B4,GT1,I,GT-B,GlcA
UGT2B7,GT1,I,GT-B,GlcA
UGT3A1,GT1,I,GT-B,GlcNAc
UGT3A2,GT1,I,GT-B,GlcNAc
UGT8,GT1,I,GT-B,Gal
FUT10,GT10,NA,NA,Fuc
FUT11,GT10,NA,NA,Fuc
FUT3,GT10,NA,NA,Fuc
FUT4,GT10,NA,NA,Fuc
FUT5,GT10,NA,NA,Fuc
FUT6,GT10,NA,NA,Fuc
FUT7,GT10,NA,NA,Fuc
FUT9,GT10,NA,NA,Fuc
FUT1,GT11,NA,NA,Fuc
FUT2,GT11,NA,NA,Fuc
B4GALNT1,GT12,NA,NA,GalNAc
B4GALNT2,GT12,NA,NA,GalNAc
MGAT1,GT13,NA,NA,GlcNAc
POMGNT1,GT13,NA,NA,GlcNAc
GCNT1,GT14,NA,NA,GlcNAc
GCNT2A,GT14,NA,NA,GlcNAc
GCNT2B,GT14,NA,NA,GlcNAc
GCNT2C,GT14,NA,NA,GlcNAc
GCNT3,GT14,NA,NA,GlcNAc
GCNT4,GT14,NA,NA,GlcNAc
GCNT7,GT14,NA,NA,GlcNAc
RTFDC1,GT14,NA,NA,GlcNAc
XYLT1,GT14,NA,NA,Xyl
XYLT2,GT14,NA,NA,Xyl
MGAT2,GT16,NA,NA,GlcNAc
MGAT3,GT17,NA,NA,GlcNAc
MGAT5,GT18,NA,NA,GlcNAc
